"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"149","252457_2023-05-09","9.87",9.87,FALSE,"",9.87,"<0.01",0.01,TRUE,"",-1,"9.87",9.87,FALSE,"",9.87,"40",40,FALSE,"",40,"0.3",0.3,FALSE,"",0.3,"252457",2023-05-09 11:41:00,"Energy Labs",45.75878,-108.65837,"WELL","","Quaternary","khaki3",22,"black",2
"150","252457_2023-07-06","10.1",10.1,FALSE,"",10.1,"<0.01",0.01,TRUE,"",-1,"10.1",10.1,FALSE,"",10.1,"36",36,FALSE,"",36,"<0.01",0.01,TRUE,"",-1,"252457",2023-07-06 13:00:00,"Energy Labs",45.75878,-108.65837,"WELL","","Quaternary","khaki3",22,"black",2
"151","252461_2023-03-23","10.400",10.4,FALSE,"",10.4,"<0.050 U",0.05,TRUE," U",-1,"9.040",9.04,FALSE,"",9.04,"43.980",43.98,FALSE,"",43.98,"319.000",0.319,FALSE,"",319,"252461",2023-03-23 13:22:00,"MBMG",45.75878,-108.65837,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"152","259772_2022-09-28","4.14",4.14,FALSE,"",4.14,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"103.4",103.4,FALSE,"",103.4,"0.1",0.1,FALSE,"",0.1,"259772",2022-09-28 08:40:00,"City of Billings",45.770865,-108.608453,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"153","259781_2022-09-04","2.7",2.7,FALSE,"",2.7,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"22.6",22.6,FALSE,"",22.6,"<0.05",0.05,TRUE,"",-1,"259781",2022-09-04 23:45:00,"City of Billings",45.7809,-108.59268,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"154","263104_2022-10-04","5.06",5.06,FALSE,"",5.06,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"92.2",92.2,FALSE,"",92.2,"0.27",0.27,FALSE,"",0.27,"263104",2022-10-04 11:19:00,"City of Billings",45.68762,-108.70275,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"155","263104_2023-02-07","4.71",4.71,FALSE,"",4.71,"<0.05",0.05,TRUE,"",-1,"4.71",4.71,FALSE,"",4.71,"116.87",116.87,FALSE,"",116.87,"0.33",0.33,FALSE,"",0.33,"263104",2023-02-07 12:00:00,"City of Billings",45.68762,-108.70275,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"156","263104_2023-03-24","4.850",4.85,FALSE,"",4.85,"<0.010 U",0.01,TRUE," U",-1,"4.110",4.11,FALSE,"",4.11,"99.120",99.12,FALSE,"",99.12,"297.000",0.297,FALSE,"",297,"263104",2023-03-24 15:15:00,"MBMG",45.68762,-108.70275,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"157","263104_2023-06-05","4.52",4.52,FALSE,"",4.52,"<0.01",0.01,TRUE,"",-1,"4.52",4.52,FALSE,"",4.52,"117",117,FALSE,"",117,"0.4",0.4,FALSE,"",0.4,"263104",2023-06-05 15:45:00,"Energy Labs",45.68762,-108.70275,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
"158","263104_2023-08-03","3.41",3.41,FALSE,"",3.41,"<0.01",0.01,TRUE,"",-1,"3.41",3.41,FALSE,"",3.41,"136",136,FALSE,"",136,"0.4",0.4,FALSE,"",0.4,"263104",2023-08-03,"Energy Labs",45.68762,-108.70275,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
